                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.87998,                0.76172,                 0.8187,                0.76277,                0.66936,                0.74628,                0.56401,                  0.754,                0.67753,                0.80607,              0.0071149,              0.0071149,              0.0071149
                    105,                0.87946,                0.77148,                0.81563,                0.76338,                 0.6734,                0.74762,                0.56491,                0.75366,                 0.6755,                0.80601,              0.0070866,              0.0070866,              0.0070866
                    106,                0.87602,                0.75848,                0.81829,                 0.7629,                0.67316,                0.74821,                  0.566,                 0.7537,                0.67484,                0.80592,              0.0070583,              0.0070583,              0.0070583
                    107,                0.87053,                0.75476,                0.81467,                0.76154,                0.67421,                0.74834,                0.56594,                0.75284,                0.67479,                0.80596,                0.00703,                0.00703,                0.00703
                    108,                0.87109,                0.75234,                0.81761,                 0.7569,                0.67442,                0.74893,                0.56486,                0.75275,                0.67408,                0.80582,              0.0070017,              0.0070017,              0.0070017
                    109,                0.87133,                0.73904,                0.81415,                0.76453,                0.67213,                0.75003,                0.56593,                0.75225,                0.67352,                0.80564,              0.0069734,              0.0069734,              0.0069734
                    110,                0.88988,                0.76398,                 0.8173,                0.76903,                0.66927,                0.75028,                0.56696,                0.75152,                0.67245,                0.80561,              0.0069451,              0.0069451,              0.0069451
                    111,                0.87049,                0.74659,                0.81948,                0.77255,                0.67198,                0.75098,                0.56655,                0.75134,                0.67237,                0.80556,              0.0069169,              0.0069169,              0.0069169
                    112,                0.86858,                0.74632,                0.81874,                0.77498,                0.66933,                0.75106,                0.56722,                0.75061,                0.67238,                0.80556,              0.0068886,              0.0068886,              0.0068886
                    113,                0.87165,                0.73752,                0.81552,                0.77119,                0.67254,                  0.751,                0.56743,                0.75117,                0.67122,                0.80555,              0.0068603,              0.0068603,              0.0068603
                    114,                0.88095,                0.75687,                0.81744,                0.78319,                 0.6658,                0.75089,                0.56842,                0.75072,                 0.6699,                0.80557,               0.006832,               0.006832,               0.006832
                    115,                0.86686,                0.72421,                0.81827,                0.78125,                0.66755,                0.75143,                0.56794,                0.75123,                0.66909,                0.80555,              0.0068037,              0.0068037,              0.0068037
                    116,                0.87283,                0.74733,                 0.8168,                0.78364,                0.66523,                0.75223,                0.56916,                0.75145,                0.66812,                0.80549,              0.0067754,              0.0067754,              0.0067754
                    117,                0.87592,                0.74559,                0.81634,                0.78549,                0.66698,                0.75447,                0.56971,                0.75144,                0.66792,                0.80543,              0.0067471,              0.0067471,              0.0067471
                    118,                0.86105,                0.72843,                0.81519,                0.78113,                0.66608,                0.75467,                0.56994,                0.75125,                0.66816,                0.80542,              0.0067189,              0.0067189,              0.0067189
                    119,                0.86403,                0.72754,                0.81876,                0.78435,                0.66592,                0.75502,                0.57074,                0.75096,                0.66763,                0.80542,              0.0066906,              0.0066906,              0.0066906
                    120,                0.85932,                0.72135,                0.81705,                0.78416,                0.66697,                0.75418,                0.56984,                0.75123,                 0.6669,                 0.8054,              0.0066623,              0.0066623,              0.0066623
                    121,                0.85815,                 0.7147,                0.81678,                0.77941,                0.67083,                0.75626,                0.57042,                0.75108,                0.66678,                 0.8054,               0.006634,               0.006634,               0.006634
                    122,                0.86613,                0.72822,                0.81506,                0.78013,                 0.6724,                0.75668,                0.57053,                0.75084,                0.66603,                0.80528,              0.0066057,              0.0066057,              0.0066057
                    123,                0.86387,                0.71436,                0.81461,                0.78785,                0.66613,                0.75618,                0.57113,                0.75053,                0.66485,                0.80531,              0.0065774,              0.0065774,              0.0065774
                    124,                0.86619,                0.72067,                0.81577,                0.79728,                0.66063,                0.75723,                0.57243,                0.75055,                0.66435,                0.80544,              0.0065491,              0.0065491,              0.0065491
                    125,                0.85833,                0.70701,                0.81673,                0.79363,                0.66614,                0.75768,                0.57266,                0.75002,                0.66354,                0.80544,              0.0065209,              0.0065209,              0.0065209
                    126,                0.84988,                0.69854,                0.81713,                0.80173,                0.66373,                0.75864,                0.57307,                 0.7503,                0.66329,                0.80544,              0.0064926,              0.0064926,              0.0064926
                    127,                0.85182,                0.71638,                0.81426,                0.80663,                0.66071,                0.75852,                 0.5728,                0.74974,                0.66277,                0.80543,              0.0064643,              0.0064643,              0.0064643
                    128,                0.85486,                0.69969,                0.81415,                0.81252,                0.65611,                0.75896,                0.57303,                0.74977,                0.66217,                0.80537,               0.006436,               0.006436,               0.006436
                    129,                0.85698,                0.69973,                0.81647,                0.81273,                0.65654,                0.75966,                0.57387,                0.74978,                0.66118,                0.80534,              0.0064077,              0.0064077,              0.0064077
                    130,                0.85306,                0.69571,                0.81571,                0.81468,                0.65528,                0.75987,                0.57416,                0.74963,                0.66113,                0.80532,              0.0063794,              0.0063794,              0.0063794
                    131,                0.85448,                0.69988,                0.81692,                0.80884,                0.65827,                0.76044,                 0.5743,                0.75004,                0.66104,                0.80527,              0.0063511,              0.0063511,              0.0063511
                    132,                0.85105,                0.68376,                0.81647,                0.81696,                0.65586,                0.76111,                0.57477,                0.74972,                0.65999,                0.80521,              0.0063229,              0.0063229,              0.0063229
                    133,                 0.8503,                0.68638,                0.81697,                0.81109,                0.65817,                0.76117,                0.57502,                0.74985,                0.66001,                0.80515,              0.0062946,              0.0062946,              0.0062946
                    134,                0.84806,                0.67732,                 0.8146,                0.81525,                0.65643,                0.76133,                0.57543,                0.74973,                0.66018,                0.80523,              0.0062663,              0.0062663,              0.0062663
                    135,                0.85336,                0.70039,                0.81651,                0.80947,                0.66086,                0.76163,                0.57608,                0.74956,                0.65952,                0.80518,               0.006238,               0.006238,               0.006238
                    136,                0.85083,                0.68561,                0.81392,                0.80665,                0.66325,                0.76179,                0.57587,                0.74887,                0.65902,                0.80513,              0.0062097,              0.0062097,              0.0062097
                    137,                0.84333,                  0.688,                0.81479,                0.81561,                0.65703,                0.76208,                0.57618,                0.74894,                0.65849,                0.80511,              0.0061814,              0.0061814,              0.0061814
                    138,                0.84379,                0.67903,                0.81506,                0.81707,                0.65562,                0.76258,                 0.5773,                0.74851,                 0.6579,                0.80505,              0.0061531,              0.0061531,              0.0061531
                    139,                0.85395,                0.68262,                0.81393,                0.81103,                0.66197,                0.76307,                0.57807,                0.74817,                0.65734,                0.80505,              0.0061249,              0.0061249,              0.0061249
                    140,                0.84258,                0.67695,                 0.8116,                0.80834,                0.66344,                0.76345,                0.57777,                0.74824,                0.65759,                0.80502,              0.0060966,              0.0060966,              0.0060966
                    141,                0.85977,                0.67625,                0.81388,                0.81411,                0.66006,                0.76362,                0.57849,                 0.7475,                0.65736,                0.80504,              0.0060683,              0.0060683,              0.0060683
                    142,                0.84828,                0.66268,                0.81565,                0.81353,                 0.6606,                0.76444,                0.57892,                0.74764,                0.65715,                0.80502,                0.00604,                0.00604,                0.00604
                    143,                0.83884,                0.67448,                0.81471,                0.81689,                0.65982,                0.76449,                0.57938,                0.74739,                0.65647,                0.80502,              0.0060117,              0.0060117,              0.0060117
                    144,                0.84144,                0.66966,                0.81434,                0.79906,                0.66747,                 0.7649,                0.57942,                0.74718,                0.65675,                0.80504,              0.0059834,              0.0059834,              0.0059834
                    145,                0.84265,                0.66657,                0.81373,                0.79836,                0.66787,                0.76519,                 0.5797,                0.74711,                 0.6567,                0.80505,              0.0059551,              0.0059551,              0.0059551
                    146,                0.83724,                0.66364,                0.81341,                0.80636,                0.66529,                0.76525,                0.57949,                0.74672,                0.65661,                0.80501,              0.0059269,              0.0059269,              0.0059269
                    147,                0.83532,                0.66496,                0.81384,                0.79706,                 0.6696,                0.76556,                0.57949,                0.74675,                0.65628,                0.80502,              0.0058986,              0.0058986,              0.0058986
                    148,                0.83276,                0.66195,                0.81277,                0.80242,                0.66692,                0.76588,                0.57982,                0.74679,                0.65587,                0.80507,              0.0058703,              0.0058703,              0.0058703
                    149,                0.83951,                0.66957,                0.81716,                0.80322,                0.66717,                0.76606,                0.58038,                0.74669,                0.65547,                0.80502,               0.005842,               0.005842,               0.005842
                    150,                0.83931,                0.65932,                0.81623,                0.79466,                0.67052,                0.76646,                0.57998,                0.74668,                0.65527,                  0.805,              0.0058137,              0.0058137,              0.0058137
                    151,                 0.8396,                0.66302,                  0.814,                0.79708,                0.67094,                0.76653,                0.58035,                0.74607,                0.65425,                 0.8051,              0.0057854,              0.0057854,              0.0057854
                    152,                0.83338,                0.65548,                0.81342,                0.79823,                0.67153,                0.76675,                0.58053,                 0.7463,                0.65449,                0.80509,              0.0057571,              0.0057571,              0.0057571
                    153,                0.83739,                0.65633,                0.81434,                0.79809,                0.67259,                0.76712,                0.58073,                0.74629,                0.65394,                0.80505,              0.0057289,              0.0057289,              0.0057289
                    154,                0.84918,                0.65516,                0.81528,                0.79879,                0.67243,                0.76826,                0.58122,                0.74604,                0.65344,                0.80506,              0.0057006,              0.0057006,              0.0057006
                    155,                0.82811,                 0.6544,                0.81357,                0.80468,                0.66995,                 0.7686,                0.58143,                0.74628,                0.65335,                0.80501,              0.0056723,              0.0056723,              0.0056723
                    156,                0.82469,                0.63797,                0.81126,                0.80348,                0.67084,                0.76911,                0.58142,                0.74604,                0.65288,                0.80502,               0.005644,               0.005644,               0.005644
